vdo_category,total_views,total_ratings,total_comments
Entertainment,1.644510629E9,4781770.0,2157884.0
Sports,6.47412772E8,1190786.0,667573.0
"","","",""
Film & Animation,6.5944954E8,2980455.0,1284989.0
People & Blogs,4.25607955E8,1483645.0,977138.0
News & Politics,3.10502116E8,1330121.0,1109612.0
Pets & Animals,1.18786665E8,309886.0,166297.0
UNA,2.54936053E8,719595.0,312734.0
Autos & Vehicles,1.31705784E8,183152.0,103413.0
Travel & Places,5.774808E7,178146.0,115341.0
Music,2.426199511E9,7771117.0,3432221.0
Howto & DIY,2.52583445E8,596282.0,429601.0
Gadgets & Games,5.05658305E8,1646968.0,1080852.0
Comedy,1.603337065E9,5173792.0,2204516.0
